Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
867.067,920.633,59.7669,50.4611
896.667,916.267,54.1376,48.5602
892.3,890.833,56.3614,57.025
953.2,952.933,40.161,40.3453
867.733,867.467,59.4933,59.6051
896.333,924.9,54.29,47.9656
895.933,982.133,54.4829,28.8667
920.333,895.033,50.6452,54.9031
954,924.833,39.6076,48.0038
863,975.9,61.606,29.2415
833.767,953.2,65.9494,40.1606
896.633,1011,54.1485,0
862.3,924.867,61.8722,47.985
896.8,953.6,54.0697,39.883
953,924.9,40.299,47.9654
833.333,982.567,66.1125,28.4333
891.033,952.967,56.9185,40.3265
863.7,982.833,61.3184,28.1667
924.567,874.3,48.1517,57.0262
919.733,949.033,50.9765,43.18
982.1,924.933,28.9,47.9486
896.067,925.133,54.419,47.838
982.3,1011,28.7,0
869.7,953.267,57.1267,40.1143
925.767,925.1,47.4827,47.8607
898.033,953.933,53.5247,39.6507
953.3,965.067,40.0906,32.7257
982,1011,29,0
953.267,954,40.1137,39.6043
953.733,981.933,39.7908,29.0667
981.967,982.133,29.0333,28.8667
953.467,1011,39.977,0
925.033,953.567,47.8925,39.906
953.8,1011,39.7479,0
949.167,977.7,43.0877,33.3
924.567,1011,48.1509,0
948.967,985.833,43.2299,25.1667
924.733,982.033,48.0601,28.9667
982.067,948.667,28.9333,43.4149
954.433,1011,39.3051,0
982.267,1011,28.7333,0
953.3,1011,40.091,0
953.867,982.6,39.7009,28.4
925.433,1011,47.6728,0
981.9,982.467,29.1,28.5333
981.9,1011,29.1,0
926.067,1004.73,47.3203,6.26667
954.767,1011,39.076,0
965.233,1011,32.9306,0
925.333,1011,47.7284,0
982.133,977.833,28.8667,33.1667
982.067,1011,28.9333,0
981.967,987.133,29.0333,23.8667
915.3,977.667,53.4298,33.3333
982.1,1011,28.9,0
954.5,1011,39.2588,0
982.6,1011,28.4,0
953.933,978.133,39.6561,32.8667
982.133,1011,28.8667,0
982.3,1011,28.7,0
955.033,1011,38.89,0
982.067,984.533,28.9333,26.4667
982.033,1011,28.9667,0
981.9,1011,29.1,0
982.067,1011,28.9333,0
981.967,1011,29.0333,0
982.433,1011,28.5667,0
982.5,1011,28.5,0
982.467,1011,28.5333,0
982.5,977.633,28.5,33.3667
949.533,1011,42.8668,0
982,1011,29,0
982.6,1011,28.4,0
982,1011,29,0
982.267,1011,28.7333,0
982.3,989.667,28.7,21.3333
982,1011,29,0
981.967,1011,29.0333,0
900.067,989.167,52.5398,21.8333
981.967,1011,29.0333,0
981.933,1011,29.0667,0
982.167,1011,28.8333,0
981.867,1011,29.1333,0
982.367,1011,28.6333,0
982.067,1011,28.9333,0
982,1011,29,0
981.967,1011,29.0333,0
982.533,1011,28.4667,0
982.4,1011,28.6,0
982.367,1011,28.6333,0
982.267,1011,28.7333,0
982,1011,29,0
982.1,1011,28.9,0
982,1011,29,0
981.9,1011,29.1,0
981.933,1011,29.0667,0
982.1,1011,28.9,0
982.033,1011,28.9667,0
982.1,1011,28.9,0
982.333,1011,28.6667,0
982.067,1011,28.9333,0
982.033,1011,28.9667,0
982.167,1011,28.8333,0
954.8,1011,39.0681,0
981.9,1011,29.1,0
982.633,1011,28.3667,0
954.167,1011,39.4972,0
941.733,1011,40.9995,0
982.067,1011,28.9333,0
982,1011,29,0
982.1,1011,28.9,0
982.367,1011,28.6333,0
982.2,994.433,28.8,16.5667
958.3,1011,36.8243,0
982.133,1011,28.8667,0
959.033,1011,36.3553,0
982.2,1011,28.8,0
982.133,1011,28.8667,0
982.2,1011,28.8,0
953.867,1011,39.7002,0
982.233,1011,28.7667,0
982,1011,29,0
981.9,1011,29.1,0
981.9,1011,29.1,0
982.033,1011,28.9667,0
982.067,1011,28.9333,0
982.367,1011,28.6333,0
982.267,1011,28.7333,0
981.933,1011,29.0667,0
981.9,1011,29.1,0
955.467,1011,38.6118,0
981.7,987.067,29.3,23.9333
982.133,1011,28.8667,0
955.033,1011,38.9346,0
982.1,1011,28.9,0
982.233,1011,28.7667,0
982.033,1011,28.9667,0
981.933,1011,29.0667,0
982.067,1011,28.9333,0
981.933,1011,29.0667,0
982,1011,29,0
982.267,1011,28.7333,0
982.3,1011,28.7,0
982.233,1011,28.7667,0
982.233,1011,28.7667,0
981.8,1007.13,29.2,3.86667
982.033,1011,28.9667,0
954.467,1011,39.2953,0
965.7,1011,32.76,0
955.467,1011,38.6401,0
955.3,1011,38.7186,0
981.8,1011,29.2,0
982,1011,29,0
982.067,1011,28.9333,0
982,1011,29,0
981.967,1011,29.0333,0
982.033,1011,28.9667,0
981.9,1011,29.1,0
982.133,1011,28.8667,0
982.1,1011,28.9,0
982.333,1011,28.6667,0
982.233,1011,28.7667,0
982.233,1011,28.7667,0
982.167,1011,28.8333,0
982.233,1011,28.7667,0
982.267,992.2,28.7333,18.8
982.3,1011,28.7,0
982.233,989.5,28.7667,21.5
982.233,1011,28.7667,0
982.167,1011,28.8333,0
981.8,1011,29.2,0
981.9,1011,29.1,0
982.133,984.2,28.8667,26.8
981.967,1002.67,29.0333,8.33333
982.2,1011,28.8,0
982.167,1011,28.8333,0
982,1011,29,0
982.033,1011,28.9667,0
982.2,984.733,28.8,26.2667
