Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
2.97796,3.18867,0.0405524,0.0395105
3.0695,3.19754,0.036844,0.0398924
3.05222,3.20698,0.0452778,0.0388684
3.04667,3.20595,0.0406971,0.0360537
3.09247,3.14288,0.0419949,0.0393274
3.05298,3.23026,0.0449368,0.0351893
3.04919,3.25144,0.0413789,0.0341749
3.00393,3.18955,0.0420165,0.0373312
3.0468,3.19953,0.0433937,0.0340046
3.03986,3.2022,0.0414425,0.0386855
3.08552,3.22668,0.0437986,0.0342928
3.09122,3.13106,0.0391413,0.0372542
3.05473,3.10926,0.0390274,0.0383282
3.08384,3.15526,0.0389661,0.0410725
2.96045,3.16837,0.0400095,0.0438471
3.05216,3.22753,0.0425188,0.0374356
3.14707,3.18031,0.0380439,0.0378697
3.05662,3.14146,0.0476352,0.0403335
3.08414,3.1975,0.0402311,0.035641
3.07177,3.20642,0.0448258,0.0379529
3.05462,3.11597,0.0478751,0.040053
3.10609,3.17493,0.0418402,0.0369951
3.07634,3.13799,0.0419675,0.0392792
3.09217,3.19401,0.0379401,0.0352938
3.05859,3.19943,0.0491383,0.03796
3.08816,3.23584,0.0401006,0.0386858
3.0768,3.21752,0.0405656,0.0392086
3.09068,3.20171,0.0407616,0.0369787
3.13652,3.24465,0.0383362,0.040262
2.98801,3.18711,0.0421708,0.0334425
3.09642,3.25797,0.0451432,0.0326864
3.12046,3.27736,0.0393177,0.037427
3.10973,3.21979,0.0401773,0.0342185
3.082,3.20132,0.0449485,0.0423271
3.12541,3.19786,0.0381343,0.0359591
3.113,3.14836,0.0405451,0.0475498
3.08328,3.17105,0.041095,0.0415439
3.10394,3.20128,0.0451903,0.0344814
3.11153,3.19945,0.0393069,0.0366003
3.17021,3.18333,0.0384074,0.0349079
3.16487,3.16246,0.0405007,0.0380067
3.07812,3.19357,0.0393906,0.0367568
3.06563,3.19619,0.0437011,0.0379172
3.1316,3.22343,0.0380586,0.0394555
3.09425,3.2055,0.0426879,0.036019
3.06465,3.31381,0.0453417,0.0357422
3.17439,3.19817,0.0375646,0.0350611
3.15763,3.14833,0.0406986,0.0428773
3.08023,3.15898,0.0389082,0.0417166
3.10639,3.21152,0.0449739,0.0382039
3.0873,3.25547,0.0403812,0.0360379
3.08424,3.17171,0.0371865,0.0383334
3.12917,3.17406,0.0417421,0.0383462
3.15075,3.10587,0.0381716,0.0420809
3.10723,3.23508,0.0426476,0.0359006
3.1422,3.19379,0.0369871,0.0374569
3.11152,3.20377,0.0419916,0.0355304
3.17264,3.15113,0.0402389,0.036195
3.126,3.2498,0.0396106,0.0334342
3.11365,3.15907,0.0416402,0.0405331
3.10526,3.2311,0.0428188,0.0362163
3.07075,3.14629,0.0372744,0.0389404
3.08266,3.16342,0.0438472,0.0418124
3.05227,3.17481,0.0419982,0.0410718
3.13497,3.18253,0.0386039,0.0361051
3.05713,3.14833,0.0444869,0.0407871
3.13666,3.25472,0.0364689,0.0353661
3.21375,3.21472,0.0344044,0.0343534
3.08531,3.09141,0.0396446,0.0429647
3.12786,3.14218,0.0417931,0.0447202
3.16395,3.08291,0.0355106,0.0402394
3.14322,3.22568,0.0373212,0.0328753
3.13615,3.18952,0.0470664,0.0370322
3.14584,3.17907,0.0401848,0.0372648
3.09747,3.2277,0.0418905,0.0337946
3.16077,3.224,0.0399431,0.0353101
3.11467,3.17643,0.0396778,0.0363245
3.11405,3.28722,0.0400292,0.0348817
3.09881,3.15404,0.0386221,0.0388849
3.15566,3.15216,0.0382182,0.0383107
3.09577,3.16287,0.0462769,0.040023
3.15026,3.21125,0.037057,0.0350292
3.09272,3.17996,0.0384738,0.0383628
3.11331,3.22608,0.0379501,0.0353329
3.10483,3.17131,0.0364749,0.0343163
3.06577,3.21189,0.0453175,0.0342742
3.16698,3.18418,0.0348926,0.0424682
3.10288,3.17406,0.0446416,0.0368872
3.10696,3.24138,0.0459618,0.0372138
3.17245,3.22987,0.0356553,0.037288
3.09356,3.24254,0.0405018,0.0368394
3.07361,3.19987,0.0382813,0.0355448
3.10688,3.24007,0.0384975,0.0361489
3.14289,3.2144,0.0414431,0.0443688
3.16405,3.17966,0.0366696,0.03741
3.09356,3.18987,0.0471679,0.0369437
3.12304,3.22078,0.0412734,0.035377
3.10848,3.18658,0.03981,0.0376311
3.08887,3.23785,0.040047,0.0361068
3.15301,3.27571,0.0362085,0.0364632
3.17412,3.14502,0.0385972,0.0376512
3.1126,3.18044,0.0407892,0.0403075
3.14412,3.20063,0.0398197,0.0373063
3.176,3.17123,0.0379059,0.0449486
3.15487,3.16178,0.0399337,0.0363269
3.14686,3.1193,0.0379832,0.0396486
3.12767,3.19802,0.0378011,0.0375808
3.08627,3.15964,0.0483944,0.0446412
3.11978,3.23117,0.0411957,0.0379481
3.18058,3.15145,0.0380354,0.0390483
3.13251,3.155,0.0384395,0.0439383
3.0874,3.21963,0.0355158,0.0383346
3.17392,3.24872,0.0395566,0.0400833
3.14501,3.15498,0.0367465,0.0382859
3.17402,3.17753,0.0408063,0.0382915
3.16474,3.19832,0.0378588,0.033998
3.10646,3.14277,0.0424197,0.0432705
3.07388,3.20352,0.040306,0.037434
3.10653,3.15458,0.0403777,0.0390628
3.09211,3.19564,0.0359343,0.034713
3.1944,3.17152,0.0375558,0.047281
3.13995,3.238,0.0433254,0.0338309
3.13775,3.21495,0.0432563,0.0341067
3.09461,3.21333,0.0412003,0.0351146
3.13914,3.22473,0.0357046,0.0389121
3.16167,3.16367,0.034467,0.0379997
3.16109,3.27418,0.0378747,0.0359452
3.1237,3.15128,0.0365269,0.0405245
3.13117,3.2217,0.0413446,0.0345368
3.08808,3.26431,0.0379901,0.0337777
3.12913,3.19862,0.0409718,0.0365227
3.06345,3.18134,0.039257,0.0413497
3.09708,3.1804,0.0468348,0.0379634
3.08278,3.16201,0.0388447,0.037107
3.1435,3.17773,0.040295,0.0368437
3.08064,3.20147,0.0437989,0.0369014
3.14952,3.18687,0.0392288,0.0359091
3.19322,3.20702,0.039272,0.0355912
3.10655,3.20383,0.0421957,0.0346691
3.16399,3.2278,0.0354453,0.0364193
3.12445,3.18742,0.0364345,0.0364306
3.11727,3.14296,0.0380193,0.0348225
3.08902,3.1536,0.0459444,0.0403481
3.15094,3.27172,0.0394472,0.0355244
3.12206,3.20653,0.0378745,0.0372161
3.13284,3.16177,0.0399518,0.0388434
3.11536,3.1459,0.0393885,0.0505505
3.1448,3.22293,0.0377442,0.03719
3.1045,3.22728,0.040476,0.0366352
3.15513,3.18497,0.035017,0.0346989
3.11057,3.15803,0.0420029,0.0379635
3.15913,3.21876,0.0385542,0.039748
3.12671,3.22439,0.0389114,0.0354771
3.08962,3.18465,0.0354398,0.035852
3.05819,3.21979,0.0443676,0.034459
3.22143,3.242,0.0360323,0.033846
