Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-640.067,-596.5,33.8407,23.4669
-620.367,-556.867,39.8994,31.6339
-584,-606.7,30.7077,40.4194
-643.1,-598.067,35.0494,25.766
-556.933,-607.933,29.6474,25.2259
-606.333,-570,34.7281,27.9685
-633.933,-621.1,29.3397,30.7245
-550.367,-560.367,28.2876,30.2856
-636.5,-531.4,38.1795,27.197
-624.833,-570.467,31.9632,29.4902
-617.533,-565.667,41.0734,25.5284
-550.6,-592.767,31.9887,37.393
-560.6,-524.833,32.8311,19.7102
-565.7,-610,32.1305,38.4724
-543.967,-566.167,25.5227,29.6632
-580.967,-571.467,30.4837,29.7326
-535.9,-546.3,25.6949,24.1321
-577.767,-607.133,33.8506,29.007
-585.4,-534.367,30.0701,25.5669
-605.8,-557.233,27.9219,36.2707
-510.867,-483.033,25.7499,19.434
-582.433,-597.7,27.6987,31.3758
-537.5,-550.733,22.8557,31.3414
-538.9,-506.933,27.7684,25.6577
-573.5,-535.133,35.3954,24.0704
-511.833,-506.867,25.825,22.9465
-558.9,-590.7,20.6195,35.5791
-545.733,-557.633,31.0508,25.5285
-507.933,-543.3,33.9595,25.7597
-537.9,-510.067,26.7796,24.8048
-509.833,-492.7,28.5658,22.3727
-535.9,-515.867,31.4772,34.396
-546.3,-484.033,22.7971,15.3813
-488.933,-507.467,30.9202,22.5731
-533.533,-475,27.7714,20.1802
-561,-499.667,29.9791,23.2649
-537.867,-462.667,37.4093,23.0624
-529.7,-472.933,30.7538,21.4312
-516.567,-516.533,22.0538,23.2222
-534.7,-515.9,22.5157,24.2179
-529.333,-464.2,26.3576,16.6032
-538.167,-476.433,26.7584,24.9016
-499.033,-521.1,27.4052,30.8442
-484.2,-516.333,34.7292,30.5517
-504.933,-466.1,27.5483,23.161
-499.367,-505.767,29.2439,26.0322
-477.367,-465.1,21.813,25.2023
-491.167,-468.867,26.7813,18.9442
-506.067,-486.833,19.6716,23.6216
-516.233,-475.233,24.7147,24.7384
-479.733,-505.067,28.0662,27.0398
-494.033,-459.467,23.0856,23.616
-506.567,-439.033,28.7106,24.7564
-450.4,-477.733,22.5077,22.4279
-501.867,-446.433,33.1884,20.5818
-473.2,-480.1,22.1296,24.4505
-472.333,-498.233,21.4096,18.6626
-489,-463.533,20.5359,26.6612
-481.967,-424.233,19.5271,19.396
-455.4,-445.933,21.4447,25.9723
-493.6,-480.367,26.8904,21.1362
-490.8,-445.933,30.002,29.9812
-437.433,-435.167,19.8484,23.7896
-465.333,-461.4,21.1881,24.5218
-450.433,-443.333,27.9594,23.5866
-455.067,-463.333,25.5286,24.4346
-389.833,-449.433,15.6241,24.7009
-466,-437.867,23.5094,21.9456
-447.6,-414.267,24.2618,21.9931
-463.067,-429.5,20.2859,26.3317
-456.033,-441.9,17.0125,17.7693
-449.133,-423.867,22.0299,24.6646
-473.433,-452.9,21.8533,24.9146
-387.1,-458.5,17.8796,23.644
-439.533,-426,22.7904,24.5228
-499.833,-404.4,23.753,20.9477
-447.367,-401.5,24.8074,21.1945
-463.867,-443.433,21.3074,22.2005
-451,-435,19.9891,24.3151
-432.9,-430.367,25.2221,20.263
-437.033,-427.867,18.0897,20.7776
-428.333,-448.467,23.8395,25.588
-425.333,-382.233,25.6092,17.6473
-445.6,-364.667,20.7493,13.0642
-426.367,-424.667,19.7232,20.2676
-430.367,-453.067,20.8108,33.9513
-450.633,-418.833,22.233,24.7913
-397.9,-400.633,20.585,19.5154
-399.367,-410.367,15.9495,21.6195
-440.767,-417.333,18.9931,18.5032
-418.2,-434.233,27.8628,21.9291
-417.1,-390.933,24.481,16.3881
-439.2,-352.4,24.6962,12.4594
-426.233,-382.133,16.0682,16.7598
-417.667,-390.467,19.4355,24.1428
-428.033,-392.1,25.9882,17.236
-454.9,-399.633,23.6163,19.8485
-398.833,-380.267,25.294,15.7288
-414.033,-388.667,19.6316,16.8506
-386.633,-382.833,23.9011,17.5617
-387.167,-388.367,23.3688,20.0524
-407.7,-410.4,24.8045,21.0205
-414.433,-384.7,25.7652,19.2394
-421.1,-378.433,17.3523,15.2496
-421.367,-411.833,20.3941,18.2094
-404.533,-350.6,18.5261,15.4981
-410.033,-370.7,20.2692,19.4343
-420.233,-390.6,22.5966,21.7559
-405.667,-406.333,22.6976,20.9597
-390.267,-367.633,14.9333,16.4256
-408.233,-387.1,18.8927,18.1985
-408.4,-362.867,17.6815,14.8556
-398.233,-354.567,17.1961,15.3048
-385.433,-382.2,21.9332,17.2198
-437.367,-384.9,24.7206,18.789
-412.567,-354.133,19.7205,19.7814
-392.733,-380.233,20.2114,24.6279
-396.267,-368.533,20.4269,17.5297
